STT,Miền,Vùng,Khu vực,Mã NPP,Tên NPP,Mã NV,Tên NV,Mã KH,Tên KH,Số nhà/Khu,Tên đường/Xã/Phường,TP (Tx)/Quận (Huyện),Mã đơn hàng,Trạng thái,Loại đơn,Mã sản phẩm,Tên sản phẩm,Ngày lấy đơn,Số lượng (Lẻ),Hàng bán (Thùng),Hàng bán (Hộp/bịch),Hàng KM (Thùng),Hàng KM (hộp/bịch),Đơn giá lẻ,Đơn giá thùng,Thành tiền,Chiết khấu (Lì xì),"Mã CTKM 
 (Mua hàng/Voucher/Phiếu thu hồi)","Tên CTKM 
 (Mua hàng/Voucher/Phiếu thu hồi)","Số lượng/Điểm trả thưởng 
 (Game/Voucher/Loyalty)","Mã chương trình 
 (Game/Voucher/Loyalty)"," Tên chương trình 
 (Game/Voucher/Loyalty)"
4749,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001818,Đã duyệt,Đơn bán,FANC09,Fc.36h,05/03/2024 16:13:18,180,5,0,,,4391,158073,790365,0,,,,,
4750,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001818,Đã duyệt,Đơn bán,FACA05,Cl.36h,05/03/2024 16:13:18,144,4,0,,,4555,163963,655852,0,,,,,
4751,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001833,Đã duyệt,Đơn bán,FADD02,Fd.40b,11/03/2024 20:33:15,200,5,0,,,4762,190473,952365,0,,,,,
4752,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001848,Đã duyệt,Đơn bán,FANC02,Fa.40b,18/03/2024 16:09:21,800,20,0,,,3682,147273,2945460,353455,KM1661LOTTE,KM LOTTE TỪ 28/02-26/03/2024,,,
4753,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001848,Đã duyệt,Đơn bán,FACA04,Ca.10h,18/03/2024 16:09:21,50,5,0,,,19636,196363,981815,166909,KM1661LOTTE,KM LOTTE TỪ 28/02-26/03/2024,,,
4754,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001848,Đã duyệt,Đơn bán,FANC03,Fa.10h,18/03/2024 16:09:21,50,5,0,,,19636,196363,981815,166909,KM1661LOTTE,KM LOTTE TỪ 28/02-26/03/2024,,,
4755,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001848,Đã duyệt,Đơn bán,FANC05,Fl.40b,18/03/2024 16:09:21,800,20,0,,,3682,147273,2945460,412364,KM1661LOTTE,KM LOTTE TỪ 28/02-26/03/2024,,,
4756,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001848,Đã duyệt,Đơn bán,FACA06,Cl.40b,18/03/2024 16:09:21,800,20,0,,,3780,151200,3024000,332640,KM2239N220224,KM LOTTE TỪ 13/03-09/04/2024,,,
4757,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001848,Đã duyệt,Đơn bán,FANC09,Fc.36h,18/03/2024 16:09:21,360,10,0,,,4391,158073,1580730,221302,KM2239N220224,KM LOTTE TỪ 13/03-09/04/2024,,,
4758,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001848,Đã duyệt,Đơn bán,FACA02,Ca.40b,18/03/2024 16:09:21,800,20,0,,,3780,151200,3024000,332640,KM2239N220224,KM LOTTE TỪ 13/03-09/04/2024,,,
4759,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001848,Đã duyệt,Đơn bán,FACA05,Cl.36h,18/03/2024 16:09:21,180,5,0,,,4555,163963,819815,114774,KM2239N220224,KM LOTTE TỪ 13/03-09/04/2024,,,
4760,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001848,Đã duyệt,Đơn bán,FANC01,Fa.36h,18/03/2024 16:09:21,360,10,0,,,4391,158073,1580730,0,,,,,
4761,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001848,Đã duyệt,Đơn bán,FANC04,Fl.36h,18/03/2024 16:09:21,360,10,0,,,4391,158073,1580730,0,,,,,
4762,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001848,Đã duyệt,Đơn bán,FADD02,Fd.40b,18/03/2024 16:09:21,200,5,0,,,4762,190473,952365,0,,,,,
4763,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001876,Đã duyệt,Đơn bán,FAGS02,Gn.36h,29/03/2024 15:41:53,72,2,0,,,5700,205200,410400,0,,,,,
4764,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001876,Đã duyệt,Đơn bán,FAGS01,Gl.36h,29/03/2024 15:41:53,72,2,0,,,5700,205200,410400,0,,,,,
4765,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001881,Đã duyệt,Đơn bán,FACA05,Cl.36h,01/04/2024 16:33:03,360,10,0,,,4555,163963,1639630,229548,KM2239N220224,KM LOTTE TỪ 13/03-09/04/2024,,,
4766,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001881,Đã duyệt,Đơn bán,FACA01,Ca.36h,01/04/2024 16:33:03,360,10,0,,,4555,163963,1639630,196756,KM2239N220224,KM LOTTE TỪ 13/03-09/04/2024,,,
4767,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001881,Đã duyệt,Đơn bán,VEYO03,Vp.30h,01/04/2024 16:33:03,60,2,0,,,7495,224837,449674,76445,KM2239N220224,KM LOTTE TỪ 13/03-09/04/2024,,,
4768,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001881,Đã duyệt,Đơn bán,FANC10,Fs.36h,01/04/2024 16:33:03,72,2,0,,,4391,158073,316146,44260,KM2239N220224,KM LOTTE TỪ 13/03-09/04/2024,,,
4769,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001881,Đã duyệt,Đơn bán,FACP01,Cp.36h,01/04/2024 16:33:03,72,2,0,,,5700,205200,410400,45144,KM2240N220224,KM LOTTE TỪ 27/03-23/04/2024,,,
4770,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001881,Đã duyệt,Đơn bán,FANC01,Fa.36h,01/04/2024 16:33:03,360,10,0,,,4391,158073,1580730,0,,,,,
4771,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001890,Đã duyệt,Đơn bán,VEYO01,Vo.30h,04/04/2024 17:21:34,60,2,0,,,7495,224837,449674,76445,KM2239N220224,KM LOTTE TỪ 13/03-09/04/2024,,,
4772,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001890,Đã duyệt,Đơn bán,FACA06,Cl.40b,04/04/2024 17:21:34,200,5,0,,,3780,151200,756000,83160,KM2239N220224,KM LOTTE TỪ 13/03-09/04/2024,,,
4773,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001890,Đã duyệt,Đơn bán,FANC03,Fa.10h,04/04/2024 17:21:34,100,10,0,,,19636,196363,1963630,274908,KM2240N220224,KM LOTTE TỪ 27/03-23/04/2024,,,
4774,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001890,Đã duyệt,Đơn bán,FACA04,Ca.10h,04/04/2024 17:21:34,100,10,0,,,19636,196363,1963630,274908,KM2240N220224,KM LOTTE TỪ 27/03-23/04/2024,,,
4775,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001898,Đã duyệt,Đơn bán,VEYO03,Vp.30h,08/04/2024 16:33:01,60,2,0,,,7495,224837,449674,76445,KM2239N220224,KM LOTTE TỪ 13/03-09/04/2024,,,
4776,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001898,Đã duyệt,Đơn bán,FADD02,Fd.40b,08/04/2024 16:33:01,200,5,0,,,4762,190473,952365,0,,,,,
4777,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001919,Đã duyệt,Đơn bán,FANC03,Fa.10h,13/04/2024 16:24:47,50,5,0,,,19636,196363,981815,137454,KM2240N220224,KM LOTTE TỪ 27/03-23/04/2024,,,
4778,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001919,Đã duyệt,Đơn bán,FACA04,Ca.10h,13/04/2024 16:24:47,50,5,0,,,19636,196363,981815,137454,KM2240N220224,KM LOTTE TỪ 27/03-23/04/2024,,,
4779,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001919,Đã duyệt,Đơn bán,FANC02,Fa.40b,13/04/2024 16:24:47,400,10,0,,,3682,147273,1472730,147273,KM2240N220224,KM LOTTE TỪ 27/03-23/04/2024,,,
4780,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001919,Đã duyệt,Đơn bán,VEYO01,Vo.30h,13/04/2024 16:24:47,60,2,0,,,7495,224837,449674,76445,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4781,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001919,Đã duyệt,Đơn bán,FANC04,Fl.36h,13/04/2024 16:24:47,180,5,0,,,4391,158073,790365,110651,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4782,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001919,Đã duyệt,Đơn bán,FACA06,Cl.40b,13/04/2024 16:24:47,200,5,0,,,3780,151200,756000,105840,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4783,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001919,Đã duyệt,Đơn bán,FANC09,Fc.36h,13/04/2024 16:24:47,180,5,0,,,4391,158073,790365,86940,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4784,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001919,Đã duyệt,Đơn bán,VEYO03,Vp.30h,13/04/2024 16:24:47,60,2,0,,,7495,224837,449674,76445,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4785,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001919,Đã duyệt,Đơn bán,VEYO02,Vs.30h,13/04/2024 16:24:47,60,2,0,,,7495,224837,449674,76445,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4786,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001919,Đã duyệt,Đơn bán,FANC10,Fs.36h,13/04/2024 16:24:47,180,5,0,,,4391,158073,790365,134362,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4787,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001919,Đã duyệt,Đơn bán,FACA02,Ca.40b,13/04/2024 16:24:47,400,10,0,,,3780,151200,1512000,181440,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4788,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001955,Đã duyệt,Đơn bán,FACA14,Cs.36h,23/04/2024 14:45:13,144,4,0,,,4555,163963,655852,72144,KM2240N220224,KM LOTTE TỪ 27/03-23/04/2024,,,
4789,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001955,Đã duyệt,Đơn bán,FANC03,Fa.10h,23/04/2024 14:45:13,80,8,0,,,19636,196363,1570904,219927,KM2240N220224,KM LOTTE TỪ 27/03-23/04/2024,,,
4790,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001955,Đã duyệt,Đơn bán,FACA04,Ca.10h,23/04/2024 14:45:13,100,10,0,,,19636,196363,1963630,274908,KM2240N220224,KM LOTTE TỪ 27/03-23/04/2024,,,
4791,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001955,Đã duyệt,Đơn bán,FANC05,Fl.40b,23/04/2024 14:45:13,200,5,0,,,3682,147273,736365,73637,KM2240N220224,KM LOTTE TỪ 27/03-23/04/2024,,,
4792,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001955,Đã duyệt,Đơn bán,FACA02,Ca.40b,23/04/2024 14:45:13,200,5,0,,,3780,151200,756000,90720,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4793,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001955,Đã duyệt,Đơn bán,FANC01,Fa.36h,23/04/2024 14:45:13,180,5,0,,,4391,158073,790365,94844,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4794,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001955,Đã duyệt,Đơn bán,FACA06,Cl.40b,23/04/2024 14:45:13,200,5,0,,,3780,151200,756000,105840,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4795,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001955,Đã duyệt,Đơn bán,FACA01,Ca.36h,23/04/2024 14:45:13,360,10,0,,,4555,163963,1639630,0,,,,,
4796,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001966,Đã duyệt,Đơn bán,FAGS01,Gl.36h,25/04/2024 16:40:29,72,2,0,,,5700,205200,410400,69768,KM4594LOTTE,KM LOTTE TỪ 30/03-30/04/2024,,,
4797,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001966,Đã duyệt,Đơn bán,FAGS02,Gn.36h,25/04/2024 16:40:29,72,2,0,,,5700,205200,410400,69768,KM4594LOTTE,KM LOTTE TỪ 30/03-30/04/2024,,,
4798,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001966,Đã duyệt,Đơn bán,FANC04,Fl.36h,25/04/2024 16:40:29,360,10,0,,,4391,158073,1580730,221302,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4799,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001966,Đã duyệt,Đơn bán,FANC01,Fa.36h,25/04/2024 16:40:29,180,5,0,,,4391,158073,790365,94844,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4800,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001966,Đã duyệt,Đơn bán,FACA06,Cl.40b,25/04/2024 16:40:29,400,10,0,,,3780,151200,1512000,211680,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4801,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001966,Đã duyệt,Đơn bán,FACA02,Ca.40b,25/04/2024 16:40:29,400,10,0,,,3780,151200,1512000,181440,KM5469CKLOTTE,KM LOTTE TỪ NGÀY 10/04-07/05/2024,,,
4802,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,650006,NM_Đại Phú Tiến - Bình Dương,6004628,Nguyễn Thị Hương Lan,C65004283,Lotte Bình Dương,,Khu đô thị The Seasons-Phường Lái Thiêu,Thành phố Thuận An-Tỉnh Bình Dương,IN001966,Đã duyệt,Đơn bán,FANC03,Fa.10h,25/04/2024 16:40:29,50,5,0,,,19636,196363,981815,0,,,,,
